image_path,text,variant_idx,severity_label,severity_encoded,split
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0075.JPEG,The upper right section of the front fender displays signs of deformation in its metal composition. The head adjacent to the fender is also noted in the inspection.,2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0069.JPEG,"Inspecting the front door reveals a central detn on the metal material. The rear door, while still attached, shows no signs of damage. Both doors are assessed for their physical characteristics.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0158.JPEG,A dent is present at the center of the rear side panel. The metal material shows signs of indentation but remains intact without any visible fractures.,1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0300.JPEG,Inspection notes indicate a dent located in the center of the rear quarter panel made of metal. The rear door shows no visible damage adjacent to the affected area.,2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\download (18).jpeg,"Noted on the front bumper is a deformation located on the right side. The damage involves both metal and plastic components, which display alterations in form and structure.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0152.JPEG,"Inspection reveals that the left side of the front bumper has undergone deformation, with the plastic material being affected. The head remains intact without any observable damage.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0203.JPEG,Inspection reveals that the metal hood has sustained deformation in the center area. The impact on the structure could potentially lead to alignment issues with the roof above.,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0214.JPEG,A dent is present in the lower section of the rear door. The damage is observable on the metal surface. No additional deformities are noted in the surrounding area.,0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0154.JPEG,"A dent is observed at the center of the rear quarter panel. The damage affects the metal material, which exhibits a visible depression. No other alterations to the panel are noted during the inspection.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0044.JPEG,"Upon inspection, a dent has been noted in the center of the front fender. This defect affects the metal surface of the fender, while the condition of the front door appears to be intact. Further assessment may be warranted.",1,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0265.JPEG,Inspection revealed a dent located centrally on the metal rear door. The front door remains intact and without observable flaws in the vicinity.,1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0136.JPEG,"A deformation is present on the front right fender, with the metal exhibiting an altered shape. The affected area is clearly visible and deviates from the expected alignment of the component.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0277.JPEG,A dent is present on the lower left of the rear quarter panel. The affected area is composed of metal.,1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0055.JPEG,"Right side doors have been noted to possess deformation along the entirety of the component. The visible material is metal, which has been altered from its original form.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0238.JPEG,"Inspection of the rear bumper reveals deformation concentrated in the center, affecting both metal and plastic sections. The trunk lid shows no signs of damage related to the deformation observed.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0026.JPEG,"Notable deformation is observed in the center of the plastic front bumper. This observation also indicates potential interaction with the hood, which may show signs of related impact.",1,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0051.JPEG,A scratch was observed on the right side of the door. The damage is limited to the paint and does not appear to affect the underlying structure of the door.,0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0062.JPEG,"There is a deformation present at the center of the front bumper, which is made of metal. The condition of the hood is also affected and visible in relation to the bumper.",1,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0044.JPEG,"The rear passenger window is observed to be broken at the center. Glass shards are visible, indicating a complete fracture. The rear door is unaffected but is adjacent to the damaged area.",0,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (65).jpeg,"A crack is observed in the center of the windshield. The damage is present on the glass material, which shows a fracture disrupting its integrity. Further assessment may be required to determine the impact on visibility.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0011.JPEG,The technician noted scratches covering the entire surface of the side door. The metal material is exposed in areas due to the scratches observed.,2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0176.JPEG,"Upon inspection, the front bumper exhibits deformation at its center, with visible damage to the plastic material. The deformation appears to have affected the alignment with the adjacent hood component.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0156.JPEG,The rear quarter panel exhibits a dent located at its center. This dent affects the metal material of the panel. There are no indications of additional damage nearby.,1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\4ac6b3f4fbb0418cb365fecb849b5ddf_thb.jpg,"A deformation is noted on the front bumper, specifically in the center section. Metal is the visible material, and the hood adjacent to this area shows no apparent alterations.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0129.JPEG,I noticed that a noticeable deformation has been observed in the center of the metal hood. The adjacent front bumper appears to be affected as well. Inspections on both components could provide additional insights.,1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\images (74).jpeg,"Not sure but a dent is observed in the upper area of the front fender. The damage is present on the metal surface, which exhibits an indentation affecting the overall appearance of the component.",0,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0007.JPEG,"Inspection revealed a scratch on the side door's center, with the paint visibly compromised. The rear door shows some evidence of paint transfer related to the scratch on the adjacent side door.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0282.JPEG,Notable deformation is observed in the center of the front bumper. The plastic material has changed shape and is evident from a straightforward inspection of the area. Further analysis may be warranted.,2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0080.JPEG,"Inspection of the front bumper reveals scratches situated at the center. The paint layer is compromised, exposing the base material beneath. This condition is evident upon visual examination basically",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\download (19).jpeg,"Noteworthy deformation is present in the center of the front bumper, which is made of plastic. The hood is also observed to be affected by the adjacent damage.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images - 2022-12-12T151416.652.jpeg,"The vehicle's hood exhibits deformation located at the center. The visible material is metal, which shows signs of distortion likely due to an impact or pressure applied unevenly.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\06069fefa2294ca9a4bd4e3c146ede53_thb.jpg,"Technician note: The right side of the front bumper is deformed, made of plastic. The head in proximity displays indications of damage, potentially linked to the bumper's condition.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0065.JPEG,"The front fender exhibited deformation at its center, with visible damage to the metal material. The adjacent front wheel was observed, though no specific alterations were noted on that component.",0,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0064.jpeg,"The center of the door displays a dent in the metal. This alteration to the surface is noticeable, though the metal remains intact and undamaged otherwise.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0202.JPEG,"The rear bumper exhibits deformation at the center, with noticeable bending of the metal material. This alteration in shape is evident upon detailed inspection of the component.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0272.JPEG,"I noticed that inspection revealed that the rear bumper has deformed in the center. The metal material is compromised, with indications that the trunk lid is also impacted by this condition.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0302.JPEG,"On inspection, the right side of the front bumper shows signs of deformation, primarily in the metal and plastic components. The hood's positioning appears altered due to the proximity of the damage.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0377.JPEG,"The fornt passenger door exhibits a dent situated in the center of the metal surface. There is a noted reference to the rear passenger door, although it appears unaffected. No further details on surrounding components were provided.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0160.JPEG,"A deformation has been observed on the hood at the front center. The metal material is affected, presenting an irregular contour that deviates from its original shape.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (2).jpeg,"Notable deformation is present on the upper section of the front fender. The metal material shows signs of bending, which alters its original contour and fitment with surrounding vehicle parts.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0138.JPEG,Noted on the front left fender is a dent affecting the visible metal surface. This dent is positioned in close proximity to the front bumper.,2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0063.JPEG,"The rear door exhibits scratches located centrally. The damage is confined to the paint, which shows signs of wear. No other components appear to be affected at this time.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\5e958bd0-f875-4855-af2c-31c5b0ac2ab5.jpeg,"Noteworthy deformation is observed on the entire area of the front right fender, with the metal surface lacking its original shape. The front bumper is positioned inconsistently, likely as a result of the fender's condition.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images (88).jpeg,"The rear quarter panel exhibits deformation at its center. The damage affects the metal surface, resulting in noticeable irregularities in shape and texture. Further inspection of the surrounding areas may be warranted for a comprehensive evaluation.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0214.JPEG,"Notably, the center of the metal hood shows signs of deformation. The observable change in form suggests an impact that has affected the physical characteristics of the component.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0287.JPEG,"In the center of the rear section, deformation has been observed. The materials involved include metal and plastic, both of which show clear signs of alteration in shape. This concern pertains to the integrity of the rear component.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (58).jpeg,"A noticeable dent is present in the center of the front fender. The damage affects the metal material, resulting in a visible indentation.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0082.JPEG,"Inspection reveals that the center of the front bumper has undergone deformation, with metal material displayed prominently. The condition of the hood is also potentially affected by this alteration.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0339.JPEG,"Upon inspection, the center of the front bumper shows signs of deformation. The bumper, made of metal, reflects a change in its structural integrity due to the damage observed.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (60).jpeg,"Observations indicate that the center of the front bumper has been deformed. The metal material is visibly altered, leading to a change in its original contour. This condition is noted for further evaluation.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0143.jpeg,"Center of the hood shows deformation. The metal material is affected, indicating a change in its original form that could be recorded for future reference.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0034.JPEG,A dent was observed on the center of the metal door. The deformation appears to have altered the surface contour. No additional damage to surrounding areas was noted at this time.,0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0333.JPEG,"Upon inspection, the center of the front bumper shows a deformation. The visible metal material indicates a change in shape that may affect the component's original form.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0017.JPEG,"Center of the hood shwos signs of deformation. The metal material is visibly warped, indicating a change in its structural integrity. A closer look may be necessary to understand the full extent of the deformation.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0065.JPEG,"It looks like upon inspection, the front fender showed signs of deformation centrally, displaying metal material. The nearby front wheel was assessed, though it appeared without any observable alterations.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0064.JPEG,"Upon examination, the lower right portion of the front bumper displays scratches. The paint finish has been affected, suggesting that surface repair might be required. Further assessment could provide clarity on restoration options.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (89).jpeg,"In the front fender, a dent is noted at its center. The metal surface has been impacted, creating a concave area that alters the typical shape of the component",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0201.JPEG,"A deformation has been observed in the center of the hood, with exposed metal material indicating the type of damage. The front bumper also shows signs of being impacted near the hood.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0239.JPEG,"The rear bumper exhibits deformation at its center. The damage is observed on the metal material, indicating a change in shape that affects the overall appearance of the component.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0150.JPEG,"A deformation is noted on the right side of the front bumper, which is made of plastic. This deformation is observed in close proximity to the head assembly.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0336.JPEG,"The front door exhibits deformation across its entire sufrace. The metal material is visibly affected, showing signs of bending and irregularity. This condition is noted for further assessment.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0029.JPEG,"The front bumper exhibits deformation located at the center, with visible damage to both the metal and plastic materials. The hood appears to be in proximity to the affected area.",0,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0048.JPEG,"Inspection revealed a scratch located at the center of the rear door, which has compromised the paint surface. The rear fender nearby does not exhibit any visible damage.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0017.JPEG,"The center of the door is marked by a scratch that disrupts the paint finish. The side mirror is in its original condition, with no scratches or dents present.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0053.JPEG,"Inspection reveals a noticeable dent in the center of the rear door. The metal material shows an indentation, affecting the overall appearance of the door.",1,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0053.JPEG,"A noticeable deformation is present in the center of the front bumper. The metal material has been affected, resulting in a change in its contour. This damage is distinctly visible upon examination.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images (94).jpeg,"It looks like a deformation is observed on the front right metal fender. This alteration appears to have impacted the adjacent head, which is positioned closely to this area.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0072.jpeg,"Noted on the rear door is a dent situated centrally. This alteration affects the metal material, creating an indentation that disrupts the smoothness of the door's exterior.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0029.JPEG,"The front door exhibits deformation at the center, with metal material being visibly affected. The structural integrity of the door appears altered due to the observed change in shape. Further assessment may be necessary to evaluate the impact of the deformation",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images - 2022-12-12T151413.771.jpeg,"A scratch was observed on the left side of the rear bumper, with paint damage evident. The condition of the bumper has been documented for further review or assessment.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0356.JPEG,"The side door exhibits a noticeable deformation in the center section made of metal. Additionally, the rear door is impacted, showing adjacent alteration. The damage suggests a force applied to the side area.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0168.JPEG,"Inspection reveals a deformation located in the center of the hood, which is made of metal. The affected area has a visibly altered contour. No additional damage to the surrounding components was identified.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0127.JPEG,"Front bumper deformation is observed centrally, with the plastic material visibly altered. The changes in shape suggest a need for evaluation to determine appropriate corrective actions.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0350.JPEG,"Upon inspection, the entire front section displays signs of deformation. The materials involved include visible metal and plastic. Furthermore, the front windshield has been affected due to this damage.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0376.JPEG,Notable deformation is observed on the right side of the front bumper. The damage is present on the exposed metal and plastic parts.,1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (32).jpeg,"A dent is observed at the center of the front fender, with the underlying metal material exposed. The damage appears localized and does not extend to adjacent components",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0344.JPEG,"Upon examination, the front right fender is observed to have undergone deformation. The affected area of metal has changed from its original form, resulting in a visible distortion.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0019.JPEG,"The upper section of the rear quarter panel exhibits a dent, with the underlying metal material exposed. Additionally, the rear bumper is adjacent to this damaged area, indicating proximity of impact.",0,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0255.JPEG,"Noteworthy deformation is present on the front edge of the front fender, comprised of metal. This condition may have some relationship with the adjacent front bumper's positioning.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0056.JPEG,"Scratches and dents are present on the front passenger door, specifically in the center and lower regions. The damage has impacted both the metal and paint surfaces.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (101).jpeg,"Inspection reveals that the upper section of the front fender is deformed. The visible material is metal, displaying alterations that impact its original contour.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\563c8da63e1b4b4dbcc0fe6581b224a1_thb.jpg,"There is a noticeable deformation in the center of the hood. The affected area is made of metal, and the integrity of the surrounding paint is intact.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0053.JPEG,"Not sure but the front bumper exhibits deformation at the center. The damage is observable on the metal surface, indicating a disruption in its original shape. Further inspection may be warranted to assess the impact on surrounding components.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0078.JPEG,"At the center of the front bumper, a deformation has been observed in the metal structure. The hood nearby is also noted for its altered alignment. No evaluation of damage extent is provided.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0144.JPEG,"Upon inspection, it was noted that the lower left area of the rear bumper features a scratch. The paint has been affected, exhibiting clear signs of abrasion.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0032.JPEG,"Located at the center of the driver's side door, a scratch has been observed. The paint material is visible where the damage occurred, suggesting interaction with another object. Further details could be gathered with close inspection",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0084.JPEG,"The front bumper exhibits a deformation located at the center. Both metal and plastic materials are affected. Additionally, the adjacent head is positioned in proximity to the damaged area.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0013.JPEG,"Notably, the right side of the front bumper is deformed, predominantly consisting of plastic material. The head next to this area shows evidence of impact as well",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0024.JPEG,"The side panel exhibits deformation located at the center, which is made of metal. The distortion of the panel also appears to be affecting the adjacent roof component, although no damage is visible on the roof itself.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\aa2538583c724e36b724554e9945e9f7_thb.jpg,"The right side of the front bumper exhibits signs of deformation, with noticeable irregularities in the plastic material. Additionally, the right front fender is positioned adjacent to the affected area, suggesting a possible impact tbh",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0327.JPEG,"Inspection reveals that the metal side door has a deformation located centrally. The rear wheel is also in close alignment, which may warrant consideration in relation to the door's condition.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0027.JPEG,Inspection reveals scratches on the rear bumper at the center. The visible paint damage suggests interaction with an external object. A detailed assessment might be useful for a complete understanding.,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0274.JPEG,"Upon inspection, a noticeable dent is present on the lower left part of the metal door. The integrity of the door's surface material is affected in this region.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0110.JPEG,"The front bumper has been observed to have deformation present at the center area. The material is identified as plastic, and there is visible impact adjacent to the head component.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\images (28).jpeg,"Upon inspection, the front left fender shows signs of deformation that affects the whole section. The visible material is metal, which has been altered in shape.",1,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0268.JPEG,"Scratches and dents are present on the side panel, specifically in the center and rear portions. The damage has compromised the metal and paint finish. Additionally, the rear wheel remains in close proximity to the impacted side panel.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\a888f89ee9f04541a06096e7424f08fb_thb.jpg,"The front bumper has been observed to exhibit deformation on the right side. The material is identified as plastic, which displays noticeable irregularities in shape and alignment.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images (28).jpeg,"Noted on the windshield is a crack located centrally. The affected area involves the glass material, which may require monitoring for potential changes over time. Further evaluation might be warranted.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0118.JPEG,"Center area of the front bumper is deformed, with visible damage to the metal and plastic materials. This condition is apparent during a routine vehicle inspection.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0051.JPEG,The inspection revealed a scratch on the right side of the door. The visible damage is restricted to the paint surface.,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (54).jpeg,"A dent is observed at the center of the front fender, affecting the metal surface. The integrity of the fender appears altered due to the deformation. No additional damages were noted in the surrounding area.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (108).jpeg,"Inspection revealed a dent situated at the center of the rear quarter panel. The damage affects the metal surface, resulting in a noticeable indentation. The integrity of the panel remains to be evaluated.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (4).jpeg,Noteworthy scratches are observed on the center of the rear quarter panel. The paint material is compromised with visible abrasions. An evaluation of the paint condition is recommended for future reference.,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0040.JPEG,"The rear bumpre exhibits a hole located on its right side. The visible material is plastic, indicating a breach in the structural integrity of the component. This damage may necessitate further inspection.",1,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\download (21).jpeg,"The right side of the front bumper is deformed, which is made of plastic. This condition has impacted the positioning of the head located adjacent to the bumper.",2,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\download (35).jpeg,"The rear bumper displays a dent located at its center. The material observed is plastic, which has been impacted but remains intact without any separation or tearing present.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0047.JPEG,The front left fender is observed to have a deformtaion located centrally. The visible metal material displays irregular contours. This observation indicates a change to the fender's original configuration.,2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0065.JPEG,"Observation of the front fender revealed deformation located centrally, characterized by the presence of metal material. The front wheel was also present, with no apparent changes documented.",1,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0005.JPEG,Notable deformation is present on the entire rear section of the vehicle. Both metal and glass materials show signs of distortion. Further examination could provide additional insights into the condition of these components,1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0352.JPEG,"Side door exhibits a dent at its center, with metal material clearly observable. The rear door, positioned next to the side door, does not display any apparent damage.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0297.JPEG,"Rear bumper deformation is noted in the central area. The damage has impacted the plastic material, altering its contour.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0015.JPEG,"The roof of the vehicle exhibits multiple dents across its entire surface. The material observed is metal, and the rear window is also noted as a secondary component affected by this condition.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0035.JPEG,"Inspecting the front bumper reveals a central deformation, involving both metal and plastic components. The alignment with the hood may also be altered due to this observed damage.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0038.JPEG,"Observation indicates that the rear edge of the trunk lid has undergone deformation, with the metal material being affected. The rear bumper is also noted in proximity to this area of concern.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0032.JPEG,The rear door exhibist a dent located centrally on the metal surface. This alteration gives the door a deformed appearance.,1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0011.JPEG,"The rear fender has a scratch present in the central area. The paint layer is compromised, revealing the material underneath. This damage is noted for further consideration during the inspection process basically",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0005.JPEG,"Inspection reveals a scratch located on the lower section of the rear door. The paint has been disturbed, showing the material beneath. This condition may warrant additional attention for restoration.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0272.JPEG,Inspection reveals a dent located centrally on the metal door. The physical state of the door includes this indentation without additional marks or abrasions in adjacent areas. The overall appearance retains its structure.,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0147.JPEG,"Inspection reveals that the front bumper has a deformation located in the center area. The affected section is made of metal, which appears to be bent. This alteration in form is clearly visible upon examination.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\cf1fd966d69f48b89d424463183e8388_thb.jpg,"The right side of the front bumper is deformed, with the plastic material exhibiting a change in shape. This deformation is visually apparent and indicates a shift from its original form.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0175.JPEG,"The left side of the front bumper shows noticeable deformation. The plastic material is compromised, and the left head area is also implicated in this damage basically",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\ad321d3a82934b77aa5a4a9431e43b85_thb.jpg,"It looks like a noticeable deformation on the right side of the front bumper has been observed, which is made of plastic. This deformation is adjacent to the head, indicating a potential connection between the two components.",2,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0105.JPEG,"A dent has been observed on the rear door, situated in the center. The material of the door is metal, and the deformation is noticeable upon visual inspection.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\22902b00ea70402fab96a350f87cf944_thb.jpg,"Basically, the front bumper exhibits deformation at the center, with the metal material showing signs of distortion. Additionally, the front left fender is adjacent to the deformed area, indicating possible interaction between the two components.",0,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0147.JPEG,"Technician's note: A dent has been identified at the center of the side panel, made of metal. The integrity of the panel's surface has been affected, creating a visible deformation.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0092.JPEG,"Not sure but center deformation is present on the front bumper, constructed from metal. The physical shape deviates from its intended design. Assessment of the bumper's fitment could be considered.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0181.JPEG,"A deformation has been observed on the right side of the plastic rear bumper. This alteration is affecting the alignment with the rear quarter panel, resulting in a misalignment.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0199.JPEG,"I think technician's note: The side window has been found with a shattered upper edge. Glass material is visible, indicating the presence of damage affecting this component.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\images - 2022-12-12T151413.288.jpeg,"A visual assessment indicates that the center of the front bumper has undergone deformation. The metal material is apparent, and the condition of the hood appears to be influenced by the state of the bumper.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\1383ec11b2a14fae9f3f37e7684b9f65_thb.jpg,"The hood exhibits deformation located centrally, with the metal surface distorted. Additionally, the front bumper shows signs of impact adjacent to the affected area. These observations indicate a need for further inspection.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0130.JPEG,"A scratch has been observed on the left side of the rear bumper. The damage affects the paint finish, revealing the underlying materail. No other components appear to be impacted by this observation.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0170.JPEG,"Inspection revealed a dent on the right side of the rear bumper, which is constructed from plastic. The tail is positioned next to the damaged section.",2,minor,0,training
